Apartment Name,City,Days since Post,Price,M² of Construction(Area),Price/M²,No of Bedrooms,Property Url
 Vendo / Balboa Bay / Avenida Balboa / Precio de Oferta.,Avenida Balboa,Old Post(Over 90days),"B/.295,000.00",120,"B/.2,458.33",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/vendo-balboa-bay-avenida-balboa-precio-de-oferta/17740938?q=number.50|keyword.avenida balboa&regionslug=prov-panama-ciudad-de-panama-balboa&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
" Vendo apartamento, PH. Condesa del Mar, Ave. Balboa/ ¡Vista al mar!",Avenida Balboa,Old Post(Over 90days),"B/.515,000.00",332,"B/.1,551.20",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/vendo-apartamento-ph-condesa-del-mar-ave-balboa-vista-al-mar/17555831?q=number.50|keyword.avenida balboa&regionslug=prov-panama-ciudad-de-panama-balboa&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
" PH Turismo Megapolis, Nivel 2400, Apto 24-Z",Avenida Balboa,Old Post(Over 90days),"B/.81,000.00",43,"B/.1,883.72",1,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/ph-turismo-megapolis-nivel-2400-apto-24-z/16050193?q=number.50|keyword.avenida balboa&regionslug=prov-panama-ciudad-de-panama-balboa&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Venta de Apartamento en PH Soho Towers- Costa del Este,Costa Del Este,Recent Post(less than 30days),"B/.350,000.00",183,"B/.1,912.56",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-de-apartamento-en-ph-soho-towers-costa-del-este/17418879?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Apartamento venta Costa del Ese 20-5023 MB,Costa Del Este,Recent Post(less than 30days),"B/.225,000.00",107,"B/.2,102.80",2,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/apartamento-venta-costa-del-ese-20-5023-mb/18640146?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Apartamento venta Costa del Este 21-1166 MB,Costa Del Este,Recent Post(less than 30days),"B/.225,000.00",110,"B/.2,045.45",2,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/apartamento-venta-costa-del-este-21-1166-mb/18640167?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Apartamento venta Costa del Este 20-11007 MB,Costa Del Este,Recent Post(less than 30days),"B/.230,000.00",101,"B/.2,277.22",1,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/apartamento-venta-costa-del-este-20-11007-mb/18640183?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Apartamento venta Costa del Este 21-3140 MB,Costa Del Este,Recent Post(less than 30days),"B/.238,000.00",119,"B/.2,000.00",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/apartamento-venta-costa-del-este-21-3140-mb/18640220?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 COSTA DEL ESTE 337 M² FRENTE AL MAR 3 RECAMARAS 3 PARQ + DEPOSITO,Costa Del Este,Recent Post(less than 30days),"B/.690,000.00",337,"B/.2,047.47",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/costa-del-este-337-m-frente-al-mar-3-recamaras-3-parq-deposito/18640969?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Se vende Apartamento en Paramount Costa del Este,Costa Del Este,Recent Post(less than 30days),"B/.675,000.00",317,"B/.2,129.33",4,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/se-vende-apartamento-en-paramount-costa-del-este/18641304?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 VENTA APARTAMENTOS COSTA DEL ESTE NUEVOS ENTREGA INMEDIATA CB,Costa Del Este,Recent Post(less than 30days),"B/.196,000.00",98,"B/.2,000.00",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-apartamentos-costa-del-este-nuevos-entrega-inmediata-cb/18641306?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
" EDIFICIO COSTA VIEW, COSTA DEL ESTE, 135m2 3REC $225,000",Costa Del Este,Recent Post(less than 30days),"B/.225,000.00",140,"B/.1,607.14",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/edificio-costa-view-costa-del-este-135m2-3rec-225-000/18641363?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Venta de Apartamento en Costa del Este 21-4332 MFK,Costa Del Este,Recent Post(less than 30days),"B/.335,000.00",105,"B/.3,190.47",2,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-de-apartamento-en-costa-del-este-21-4332-mfk/18641494?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
" Venta de Apartamento Piso Alto, Vista al Mar en Exclusiva Costa del Este LG#20-1410",Costa Del Este,Recent Post(less than 30days),"B/.345,000.00",203.96,"B/.1,691.50",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-de-apartamento-piso-alto-vista-al-mar-en-exclusiva-costa-del-este-lg-20-1410/18641580?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Apartamento venta Costa del Este CV 21-4244,Costa Del Este,Recent Post(less than 30days),"B/.590,000.00",276,"B/.2,137.68",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/apartamento-venta-costa-del-este-cv-21-4244/18641611?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Venta Paramount mejor precio Costa del Este,Costa Del Este,Recent Post(less than 30days),"B/.650,000.00",317,"B/.2,050.47",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-paramount-mejor-precio-costa-del-este/18642039?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 ID3659 Costa del Este - Vende apartamento 323 m2. Modelo A.,Costa Del Este,Recent Post(less than 30days),"B/.775,000.00",323,"B/.2,399.38",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/id3659-costa-del-este-vende-apartamento-323-m2-modelo-a/18642230?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
" Precioso Apartamento 290m2 Costa del Este, vista al mar",Costa Del Este,Recent Post(less than 30days),"B/.600,000.00",290,"B/.2,068.96",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/precioso-apartamento-290m2-costa-del-este-vista-al-mar/18642927?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Apartamento venta Costa del Este YS,Costa Del Este,Recent Post(less than 30days),"B/.230,000.00",119,"B/.1,932.77",4,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/apartamento-venta-costa-del-este-ys/18643144?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
" PARAMOUNT de 4 Recamaras en $675,000 (Ultimo Precio) - Costa del Este",Costa Del Este,Recent Post(less than 30days),"B/.675,000.00",317,"B/.2,129.33",4,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/paramount-de-4-recamaras-en-675-000-ultimo-precio-costa-del-este/18467684?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Venta PH ELEVATION Ganga,Costa Del Este,Recent Post(less than 30days),"B/.345,000.00",189,"B/.1,825.39",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-ph-elevation-ganga/18473323?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
" ASIA – 135m2 3 recs $348,000k - Alquile opcion a compra disponible",Costa Del Este,Recent Post(less than 30days),"B/.348,000.00",135,"B/.2,577.77",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/asia-135m2-3-recs-348-000k-alquile-opcion-a-compra-disponible/11034266?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Se vende excelente Apartamento Costa del Este ID 7320,Costa Del Este,Recent Post(less than 30days),"B/.245,000.00",147,"B/.1,666.66",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/se-vende-excelente-apartamento-costa-del-este-id-7320/17268231?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 TEN TOWER HOT SALE,Costa Del Este,Recent Post(less than 30days),"B/.775,000.00",419,"B/.1,849.64",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/ten-tower-hot-sale/16676166?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 PH Top Tower Costa del Este - Venta rapida,Costa Del Este,Recent Post(less than 30days),"B/.216,900.00",118,"B/.1,838.13",2,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/ph-top-tower-costa-del-este-venta-rapida/16609183?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
" Al lado del iStrip Mall Plaza y a pasos del Town Center Costa del Este $410,000",Costa Del Este,Recent Post(less than 30days),"B/.410,000.00",216.67,"B/.1,892.27",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/al-lado-del-istrip-mall-plaza-y-a-pasos-del-town-center-costa-del-este-410-000/15950389?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
